ID Year,Year,ID University,University,ID CIP6,CIP6,Completions,Slug University,ID Sex,Sex
2014,"2014","153603","Iowa State University","141901","Mechanical Engineering",37,"iowa-state-university",2,"Women"
2014,"2014","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",35,"iowa-state-university",2,"Women"
2014,"2014","153603","Iowa State University","520801","General Finance",82,"iowa-state-university",2,"Women"
2014,"2014","153603","Iowa State University","521401","General Marketing & Marketing Management",82,"iowa-state-university",2,"Women"
2013,"2013","153603","Iowa State University","110103","Information Technology",4,"iowa-state-university",1,"Men"
2013,"2013","153603","Iowa State University","141901","Mechanical Engineering",219,"iowa-state-university",1,"Men"
2013,"2013","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",68,"iowa-state-university",1,"Men"
2013,"2013","153603","Iowa State University","520801","General Finance",146,"iowa-state-university",1,"Men"
2013,"2013","153603","Iowa State University","521401","General Marketing & Marketing Management",67,"iowa-state-university",1,"Men"
2013,"2013","153603","Iowa State University","110103","Information Technology",3,"iowa-state-university",2,"Women"
2013,"2013","153603","Iowa State University","141901","Mechanical Engineering",27,"iowa-state-university",2,"Women"
2013,"2013","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",30,"iowa-state-university",2,"Women"
2013,"2013","153603","Iowa State University","520801","General Finance",74,"iowa-state-university",2,"Women"
2013,"2013","153603","Iowa State University","521401","General Marketing & Marketing Management",98,"iowa-state-university",2,"Women"
2012,"2012","153603","Iowa State University","110103","Information Technology",8,"iowa-state-university",1,"Men"
2012,"2012","153603","Iowa State University","141901","Mechanical Engineering",199,"iowa-state-university",1,"Men"
2012,"2012","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",75,"iowa-state-university",1,"Men"
2012,"2012","153603","Iowa State University","520801","General Finance",118,"iowa-state-university",1,"Men"
2012,"2012","153603","Iowa State University","521401","General Marketing & Marketing Management",98,"iowa-state-university",1,"Men"
2012,"2012","153603","Iowa State University","110103","Information Technology",3,"iowa-state-university",2,"Women"
2012,"2012","153603","Iowa State University","141901","Mechanical Engineering",20,"iowa-state-university",2,"Women"
2012,"2012","153603","Iowa State University","520203","Logistics, Materials, & Supply Chain Management",24,"iowa-state-university",2,"Women"
2012,"2012","153603","Iowa State University","520801","General Finance",61,"iowa-state-university",2,"Women"
2012,"2012","153603","Iowa State University","521401","General Marketing & Marketing Management",132,"iowa-state-university",2,"Women"
